ICD10,PheCode,ICD10 String,Phenotype,Excl. Phecodes,Excl. Phenotypes,category
I27.9,415.2,"Pulmonary heart disease, unspecified",Chronic pulmonary heart disease,415-417.99,DISEASES OF PULMONARY CIRCULATION,circulatory system
I28,415,Other diseases of pulmonary vessels,Pulmonary heart disease,415-417.99,DISEASES OF PULMONARY CIRCULATION,circulatory system
I28.0,415,Arteriovenous fistula of pulmonary vessels,Pulmonary heart disease,415-417.99,DISEASES OF PULMONARY CIRCULATION,circulatory system
I28.1,415,Aneurysm of pulmonary artery,Pulmonary heart disease,415-417.99,DISEASES OF PULMONARY CIRCULATION,circulatory system
I28.8,415,Other specified diseases of pulmonary vessels,Pulmonary heart disease,415-417.99,DISEASES OF PULMONARY CIRCULATION,circulatory system
I28.9,415,"Disease of pulmonary vessels, unspecified",Pulmonary heart disease,415-417.99,DISEASES OF PULMONARY CIRCULATION,circulatory system
I30,420.21,Acute pericarditis,Acute pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I30.0,420.21,Acute nonspecific idiopathic pericarditis,Acute pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I30.1,420.21,Infective pericarditis,Acute pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I30.8,420.21,Other forms of acute pericarditis,Acute pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I30.9,420.21,"Acute pericarditis, unspecified",Acute pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I31,420.2,Other diseases of pericardium,Pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I31.0,420.22,Chronic adhesive pericarditis,Chronic pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I31.1,420.22,Chronic constrictive pericarditis,Chronic pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I31.2,420.22,"Haemopericardium, not elsewhere classified",Chronic pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I31.3,420.2,Pericardial effusion (noninflammatory),Pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I31.8,420.22,Other specified diseases of pericardium,Chronic pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I31.9,420.2,"Disease of pericardium, unspecified",Pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I32,420.21,Pericarditis in diseases classified elsewhere,Acute pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I32.0,420.2,Pericarditis in bacterial diseases classified elsewhere,Pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I32.1,420.2,Pericarditis in other infectious and parasitic diseases classified elsewhere,Pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I32.8,420.2,Pericarditis in other diseases classified elsewhere,Pericarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I33,420.3,Acute and subacute endocarditis,Endocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I33.0,420.3,Acute and subacute infective endocarditis,Endocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I33.9,420.3,"Acute endocarditis, unspecified",Endocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I34,395.1,Nonrheumatic mitral valve disorders,Nonrheumatic mitral valve disorders,394-399.99,heart valve disorders,circulatory system
I34.0,394.2,Mitral (valve) insufficiency,Mitral valve disease,394-399.99,heart valve disorders,circulatory system
I34.0,395.1,Mitral (valve) insufficiency,Nonrheumatic mitral valve disorders,394-399.99,heart valve disorders,circulatory system
I34.1,411.41,Mitral (valve) prolapse,Aneurysm and dissection of heart,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I34.1,394.2,Mitral (valve) prolapse,Mitral valve disease,394-399.99,heart valve disorders,circulatory system
I34.1,395.1,Mitral (valve) prolapse,Nonrheumatic mitral valve disorders,394-399.99,heart valve disorders,circulatory system
I34.2,395.1,Nonrheumatic mitral (valve) stenosis,Nonrheumatic mitral valve disorders,394-399.99,heart valve disorders,circulatory system
I34.8,395.1,Other nonrheumatic mitral valve disorders,Nonrheumatic mitral valve disorders,394-399.99,heart valve disorders,circulatory system
I34.9,395.1,"Nonrheumatic mitral valve disorder, unspecified",Nonrheumatic mitral valve disorders,394-399.99,heart valve disorders,circulatory system
I35,395.2,Nonrheumatic aortic valve disorders,Nonrheumatic aortic valve disorders,394-399.99,heart valve disorders,circulatory system
I35.0,747.13,Aortic (valve) stenosis,Congenital anomalies of great vessels,747-747.99," congenital anomalies, circulatory and cardiac",congenital anomalies
I35.1,394.3,Aortic (valve) insufficiency,Aortic valve disease,394-399.99,heart valve disorders,circulatory system
I35.2,394.3,Aortic (valve) stenosis with insufficiency,Aortic valve disease,394-399.99,heart valve disorders,circulatory system
I35.8,394.3,Other aortic valve disorders,Aortic valve disease,394-399.99,heart valve disorders,circulatory system
I35.9,395.2,"Aortic valve disorder, unspecified",Nonrheumatic aortic valve disorders,394-399.99,heart valve disorders,circulatory system
I35.9,394.3,"Aortic valve disorder, unspecified",Aortic valve disease,394-399.99,heart valve disorders,circulatory system
I36,395.3,Nonrheumatic tricuspid valve disorders,Nonrheumatic tricuspid valve disorders,394-399.99,heart valve disorders,circulatory system
I36.0,395.3,Nonrheumatic tricuspid (valve) stenosis,Nonrheumatic tricuspid valve disorders,394-399.99,heart valve disorders,circulatory system
I36.1,395.3,Nonrheumatic tricuspid (valve) insufficiency,Nonrheumatic tricuspid valve disorders,394-399.99,heart valve disorders,circulatory system
I36.2,395.3,Nonrheumatic tricuspid (valve) stenosis with insufficiency,Nonrheumatic tricuspid valve disorders,394-399.99,heart valve disorders,circulatory system
I36.8,395.3,Other nonrheumatic tricuspid valve disorders,Nonrheumatic tricuspid valve disorders,394-399.99,heart valve disorders,circulatory system
I36.9,395.3,"Nonrheumatic tricuspid valve disorder, unspecified",Nonrheumatic tricuspid valve disorders,394-399.99,heart valve disorders,circulatory system
I37,395.4,Pulmonary valve disorders,Nonrheumatic pulmonary valve disorders,394-399.99,heart valve disorders,circulatory system
I37.0,395.4,Pulmonary valve stenosis,Nonrheumatic pulmonary valve disorders,394-399.99,heart valve disorders,circulatory system
I37.1,395.4,Pulmonary valve insufficiency,Nonrheumatic pulmonary valve disorders,394-399.99,heart valve disorders,circulatory system
I37.2,395.4,Pulmonary valve stenosis with insufficiency,Nonrheumatic pulmonary valve disorders,394-399.99,heart valve disorders,circulatory system
I37.9,395.4,"Pulmonary valve disorder, unspecified",Nonrheumatic pulmonary valve disorders,394-399.99,heart valve disorders,circulatory system
I38,420.3,"Endocarditis, valve unspecified",Endocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I39,395,Endocarditis and heart valve disorders in diseases classified elsewhere,Heart valve disorders,394-399.99,heart valve disorders,circulatory system
I40,420.1,Acute myocarditis,Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I40.0,420.1,Infective myocarditis,Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I40.1,420.1,Isolated myocarditis,Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I40.8,420.1,Other acute myocarditis,Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I40.9,420.1,"Acute myocarditis, unspecified",Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I41,420.1,Myocarditis in diseases classified elsewhere,Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I41.2,420.1,Myocarditis in other infectious and parasitic diseases classified elsewhere,Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I41.8,420.1,Myocarditis in other diseases classified elsewhere,Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42,425.1,Cardiomyopathy,Primary/intrinsic cardiomyopathies,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.0,425.1,Dilated cardiomyopathy,Primary/intrinsic cardiomyopathies,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.1,425.11,Obstructive hypertrophic cardiomyopathy,Hypertrophic obstructive cardiomyopathy,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.2,425.12,Other hypertrophic cardiomyopathy,Other hypertrophic cardiomyopathy,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.3,425.1,Endomyocardial (eosinophilic) disease,Primary/intrinsic cardiomyopathies,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.4,425.1,Endocardial fibroelastosis,Primary/intrinsic cardiomyopathies,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.5,425.1,Other restrictive cardiomyopathy,Primary/intrinsic cardiomyopathies,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.6,425.8,Alcoholic cardiomyopathy,Other cardiomyopathy,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.7,425,Cardiomyopathy due to drugs and other external agents,Cardiomyopathy,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.8,425.1,Other cardiomyopathies,Primary/intrinsic cardiomyopathies,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I42.9,425.1,"Cardiomyopathy, unspecified",Primary/intrinsic cardiomyopathies,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I43,425.2,Cardiomyopathy in diseases classified elsewhere,Secondary/extrinsic cardiomyopathies,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I43.8,425.2,Cardiomyopathy in other diseases classified elsewhere,Secondary/extrinsic cardiomyopathies,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I44.0,426.21,"Atrioventricular block, first degree",First degree AV block,426-427.99,cardiac conduction disorders,circulatory system
I44.1,426.23,"Atrioventricular block, second degree",Second degree AV block,426-427.99,cardiac conduction disorders,circulatory system
I44.2,426.24,"Atrioventricular block, complete","Atrioventricular block, complete",426-427.99,cardiac conduction disorders,circulatory system
I44.3,426.2,Other and unspecified atrioventricular block,Atrioventricular [AV] block,426-427.99,cardiac conduction disorders,circulatory system
I44.4,426.32,Left anterior fascicular block,Left bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I44.5,426.32,Left posterior fascicular block,Left bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I44.6,426.3,Other and unspecified fascicular block,Bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I44.6,426.32,Other and unspecified fascicular block,Left bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I44.7,426.32,"Left bundle-branch block, unspecified",Left bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I45.0,426.31,Right fascicular block,Right bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I45.1,426.31,Other and unspecified right bundle-branch block,Right bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I45.2,426.3,Bifascicular block,Bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I45.3,426.3,Trifascicular block,Bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I45.4,426.3,Nonspecific intraventricular block,Bundle branch block,426-427.99,cardiac conduction disorders,circulatory system
I45.5,426.25,Other specified heart block,Other heart block,426-427.99,cardiac conduction disorders,circulatory system
I45.6,426.4,Pre-excitation syndrome,Anomalous atrioventricular excitation,426-427.99,cardiac conduction disorders,circulatory system
I45.8,426.8,Other specified conduction disorders,Other cardiac conduction disorders,426-427.99,cardiac conduction disorders,circulatory system
I45.9,426,"Conduction disorder, unspecified",Cardiac conduction disorders,426-427.99,cardiac conduction disorders,circulatory system
I46,427.42,Cardiac arrest,Cardiac arrest,426-427.99,cardiac conduction disorders,circulatory system
I46.0,427.42,Cardiac arrest with successful resuscitation,Cardiac arrest,426-427.99,cardiac conduction disorders,circulatory system
I46.1,414,"Sudden cardiac death, so described",Other forms of chronic heart disease,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I46.9,427.42,"Cardiac arrest, unspecified",Cardiac arrest,426-427.99,cardiac conduction disorders,circulatory system
I47,427.1,Paroxysmal tachycardia,"Paroxysmal tachycardia, unspecified",426-427.99,cardiac conduction disorders,circulatory system
I47.0,427.12,Re-entry ventricular arrhythmia,Paroxysmal ventricular tachycardia,426-427.99,cardiac conduction disorders,circulatory system
I47.1,427.11,Supraventricular tachycardia,Paroxysmal supraventricular tachycardia,426-427.99,cardiac conduction disorders,circulatory system
I47.2,427.12,Ventricular tachycardia,Paroxysmal ventricular tachycardia,426-427.99,cardiac conduction disorders,circulatory system
I47.9,427.1,"Paroxysmal tachycardia, unspecified","Paroxysmal tachycardia, unspecified",426-427.99,cardiac conduction disorders,circulatory system
I48,427.2,Atrial fibrillation and flutter,Atrial fibrillation and flutter,426-427.99,cardiac conduction disorders,circulatory system
I49.0,427.41,Ventricular fibrillation and flutter,Ventricular fibrillation and flutter,426-427.99,cardiac conduction disorders,circulatory system
I49.1,427.61,Atrial premature depolarization,Supraventricular premature beats,426-427.99,cardiac conduction disorders,circulatory system
I49.2,427.11,Junctional premature depolarization,Paroxysmal supraventricular tachycardia,426-427.99,cardiac conduction disorders,circulatory system
I49.3,427.6,Ventricular premature depolarization,Premature beats,426-427.99,cardiac conduction disorders,circulatory system
I49.4,427.6,Other and unspecified premature depolarization,Premature beats,426-427.99,cardiac conduction disorders,circulatory system
I49.4,427.3,Other and unspecified premature depolarization,Other specified cardiac dysrhythmias,426-427.99,cardiac conduction disorders,circulatory system
I49.5,427.8,Sick sinus syndrome,Sinoatrial node dysfunction (Bradycardia),426-427.99,cardiac conduction disorders,circulatory system
I49.8,427.3,Other specified cardiac arrhythmias,Other specified cardiac dysrhythmias,426-427.99,cardiac conduction disorders,circulatory system
I49.9,427.5,"Cardiac arrhythmia, unspecified",Arrhythmia (cardiac) NOS,426-427.99,cardiac conduction disorders,circulatory system
I50,428.2,Heart failure,Heart failure NOS,428-429.99,Heart failure,circulatory system
I50.0,428.1,Congestive heart failure,Congestive heart failure (CHF) NOS,428-429.99,Heart failure,circulatory system
I50.1,428.2,Left ventricular failure,Heart failure NOS,428-429.99,Heart failure,circulatory system
I50.9,428.2,"Heart failure, unspecified",Heart failure NOS,428-429.99,Heart failure,circulatory system
I51.0,411.2,"Cardiac septal defect, acquired",Myocardial infarction,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I51.1,414,"Rupture of chordae tendineae, not elsewhere classified",Other forms of chronic heart disease,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I51.2,414,"Rupture of papillary muscle, not elsewhere classified",Other forms of chronic heart disease,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I51.3,411.2,"Intracardiac thrombosis, not elsewhere classified",Myocardial infarction,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I51.4,420.1,"Myocarditis, unspecified",Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
I51.5,414,Myocardial degeneration,Other forms of chronic heart disease,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I51.6,414,"Cardiovascular disease, unspecified",Other forms of chronic heart disease,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I51.7,416,Cardiomegaly,Cardiomegaly,415-417.99,DISEASES OF PULMONARY CIRCULATION,circulatory system
I51.8,414,Other ill-defined heart diseases,Other forms of chronic heart disease,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I51.9,414,"Heart disease, unspecified",Other forms of chronic heart disease,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I52,414,Other heart disorders in diseases classified elsewhere,Other forms of chronic heart disease,410-414.99,ISCHEMIC HEART DISEASE,circulatory system
I60,430.1,Subarachnoid haemorrhage,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.0,433,Subarachnoid haemorrhage from carotid siphon and bifurcation,Cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.0,459.9,Subarachnoid haemorrhage from carotid siphon and bifurcation,Circulatory disease NEC,458-459.99,other circulatory symptoms/findings/disorders,circulatory system
I60.1,430.1,Subarachnoid haemorrhage from middle cerebral artery,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.2,430.1,Subarachnoid haemorrhage from anterior communicating artery,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.3,430.1,Subarachnoid haemorrhage from posterior communicating artery,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.4,430.1,Subarachnoid haemorrhage from basilar artery,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.5,430.1,Subarachnoid haemorrhage from vertebral artery,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.6,430.1,Subarachnoid haemorrhage from other intracranial arteries,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.7,430.1,"Subarachnoid haemorrhage from intracranial artery, unspecified",Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.8,430.1,Other subarachnoid haemorrhage,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I60.9,430.1,"Subarachnoid haemorrhage, unspecified",Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61,430.2,Intracerebral haemorrhage,Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61.0,430.2,"Intracerebral haemorrhage in hemisphere, subcortical",Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61.1,430.2,"Intracerebral haemorrhage in hemisphere, cortical",Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61.2,430.2,"Intracerebral haemorrhage in hemisphere, unspecified",Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61.3,430.2,Intracerebral haemorrhage in brain stem,Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61.4,430.2,Intracerebral haemorrhage in cerebellum,Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61.5,430.2,"Intracerebral haemorrhage, intraventricular",Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61.6,430.2,"Intracerebral haemorrhage, multiple localized",Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61.8,430.2,Other intracerebral haemorrhage,Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I61.9,430.2,"Intracerebral haemorrhage, unspecified",Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I62.0,430.3,Subdural haemorrhage (acute)(nontraumatic),Subdural hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I62.1,430,Nontraumatic extradural haemorrhage,Intracranial hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I62.9,430,"Intracranial haemorrhage (nontraumatic), unspecified",Intracranial hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63,433.2,Cerebral infarction,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.0,433.21,Cerebral infarction due to thrombosis of precerebral arteries,"Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.1,433.11,Cerebral infarction due to embolism of precerebral arteries,"Occlusion of cerebral arteries, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.2,433.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.2,433.11,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,"Occlusion of cerebral arteries, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.3,433.21,Cerebral infarction due to thrombosis of cerebral arteries,"Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.4,433.21,Cerebral infarction due to embolism of cerebral arteries,"Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.5,433.21,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,"Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.5,433.2,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.6,433.21,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic","Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.8,433.21,Other cerebral infarction,"Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I63.9,433.2,"Cerebral infarction, unspecified",Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I64,433.21,"Stroke, not specified as haemorrhage or infarction","Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I65,433.1,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",Occlusion and stenosis of precerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I65.0,433.1,Occlusion and stenosis of vertebral artery,Occlusion and stenosis of precerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I65.1,433.1,Occlusion and stenosis of basilar artery,Occlusion and stenosis of precerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I65.2,433.1,Occlusion and stenosis of carotid artery,Occlusion and stenosis of precerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I65.3,433.1,Occlusion and stenosis of multiple and bilateral precerebral arteries,Occlusion and stenosis of precerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I65.8,433.1,Occlusion and stenosis of other precerebral artery,Occlusion and stenosis of precerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I65.9,433.1,Occlusion and stenosis of unspecified precerebral artery,Occlusion and stenosis of precerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I66,433.2,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I66.0,433.2,Occlusion and stenosis of middle cerebral artery,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I66.1,433.2,Occlusion and stenosis of anterior cerebral artery,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I66.2,433.2,Occlusion and stenosis of posterior cerebral artery,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I66.3,433.2,Occlusion and stenosis of cerebellar arteries,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I66.4,433.2,Occlusion and stenosis of multiple and bilateral cerebral arteries,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I66.8,433.2,Occlusion and stenosis of other cerebral artery,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I66.9,433.2,Occlusion and stenosis of unspecified cerebral artery,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I67,433.3,Other cerebrovascular diseases,Cerebral ischemia,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I67.0,442.4,"Dissection of cerebral arteries, nonruptured",Arterial dissection,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",circulatory system
I67.1,433.5,"Cerebral aneurysm, nonruptured",Cerebral aneurysm,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I67.2,433.12,Cerebral atherosclerosis,Cerebral atherosclerosis,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I67.3,324,Progressive vascular leukoencephalopathy,Other CNS infection and poliomyelitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,neurological
I67.4,401.3,Hypertensive encephalopathy,Other hypertensive complications,401-405.99,HYPERTENSIVE DISEASE,circulatory system
I67.5,433.32,Moyamoya disease,Moyamoya disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I67.6,433.2,Nonpyogenic thrombosis of intracranial venous system,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I67.7,433,"Cerebral arteritis, not elsewhere classified",Cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I67.8,433.3,Other specified cerebrovascular diseases,Cerebral ischemia,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I67.9,433,"Cerebrovascular disease, unspecified",Cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I68,433,Cerebrovascular disorders in diseases classified elsewhere,Cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I68.0,433,Cerebral amyloid angiopathy,Cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I68.2,433,Cerebral arteritis in other diseases classified elsewhere,Cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I68.8,433,Other cerebrovascular disorders in diseases classified elsewhere,Cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I69,433.8,Sequelae of cerebrovascular disease,Late effects of cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I69.0,433.8,Sequelae of subarachnoid haemorrhage,Late effects of cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I69.1,433.8,Sequelae of intracerebral haemorrhage,Late effects of cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I69.2,433.8,Sequelae of other nontraumatic intracranial haemorrhage,Late effects of cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I69.3,433.8,Sequelae of cerebral infarction,Late effects of cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I69.4,433.8,"Sequelae of stroke, not specified as haemorrhage or infarction",Late effects of cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I69.8,433.8,Sequelae of other and unspecified cerebrovascular diseases,Late effects of cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,circulatory system
I70,440,Atherosclerosis,Atherosclerosis,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",circulatory system
I70.0,440.9,Atherosclerosis of aorta,Atherosclerosis of aorta,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",circulatory system
I70.1,440.1,Atherosclerosis of renal artery,Atherosclerosis of renal artery,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",circulatory system
I70.2,440.2,Atherosclerosis of arteries of extremities,Atherosclerosis of the extremities,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",circulatory system
I70.8,440,Atherosclerosis of other arteries,Atherosclerosis,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",circulatory system
I70.9,440,Generalized and unspecified atherosclerosis,Atherosclerosis,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",circulatory system
I71.0,442.1,Dissection of aorta [any part],Aortic aneurysm,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",circulatory system
I71.1,442.1,"Thoracic aortic aneurysm, ruptured",Aortic aneurysm,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",circulatory system
